id,name,nickname,title,gender,body_type,rarity,element,primordial_force,weapon_type,region,affiliation,profession,species,constellation,special_dish,TAG,description,birthday,cn_CV,img_src
character1,杜林,"['小杜林', '科斯魔']",「不熄灭的火」,男,少年,5星,火,,单手剑,蒙德,魔女会,自魔女M笔下诞生的龙,炼金造物（龙）,赤龙座,,"['减抗', '派遣']",在魔女M笔下诞生的龙，最终来到了人类的世界。而他的「故事」，也仍在继续。,3月14日,陶典,https://patchwiki.biligame.com/images/ys/4/4f/1gapol7m9j3kkdargd7fxk5g0iszobf.png
character2,雅珂达,"['捡破烂的（爱诺）', '提瓦特表情帝', '行走的表情包', '可达鸭']",系风攘影,女,少女,4星,风,,弓,挪德卡莱,秘闻馆,「秘闻馆」正式雇员,人类,莓果座,「课后作业」,"['治疗', '元素转化', '派遣', '地区交互']",十分可靠，无所不能（自称）的「秘闻馆」员工。,1月5日,韩娇娇,https://patchwiki.biligame.com/images/ys/0/0d/7qik7ijgluv24vbsubux1hohq6hxub5.png
character3,奇偶,[],奇域人偶,男/女,少年/少女,5星,与旅行者相同,,单手剑,其他,无,无,人偶,无,,"['特殊元素附魔', '能量恢复']",笔名「欧科塔维亚」的魔女托付给你和派蒙的人偶，善于探索「千星奇域」中封存的奥秘。,与旅行者一致,——每个语言各有三种声线可供选择，目前仅有日语公布，其他语言在破译,
character4,奈芙尔,"['雅珂达的老板', '奈姐（雅珂达）', '夜绿', '蛇女']",湮沙的秘闻,女,成女,5星,草,,法器,挪德卡莱,秘闻馆,「秘闻馆」的老板,人类,游棋座,「秘闻交易」,"['特化反应', '派遣', '自身元素精通提高', '技能延长', '减抗', '地区交互']",神通广大的「秘闻馆」之主。,5月9日,曾彤,https://patchwiki.biligame.com/images/ys/9/98/7baqf3bv6ihuzszzwf7vxums612zrwj.png
character5,菲林斯,"['雪国的妖精', '雷艾梅莉埃', '神秘守墓男子', '名字很长先生', '凤梨酥']",诡灯陌影,男,成男,5星,雷,,长柄武器,挪德卡莱,执灯人,挪德卡莱执灯士,妖精,夜行灯座,长夜燃火,"['特殊元素附魔', '特产探索', '自身抗打断', '能量恢复', '自身元素精通提高', '特化反应', '冷却减少', '减抗', '擢升', '元素反应基础伤害提升', '地区交互']",挪德卡莱的「执灯人」，看守着北方小岛上的灯塔与墓地。一位言行举止极富修养的神秘绅士。,10月31日,马正阳,https://patchwiki.biligame.com/images/ys/1/10/faae4rzd4bupiiqtom3vceyz55t9f6g.png
character6,菈乌玛,"['咏月使大人', '鹿女', '大德鲁伊', '长角的女人', '鹿姐（这两个均来自雅珂达）', '辣舞妈', '老玛']",永月的祀歌,女,成女,5星,草,,法器,挪德卡莱,霜月之子,苍林的圣女,兽人（鹿）,银鹿座,林间低语,"['快速移动', '生物亲和', '特化反应', '特产探索', '减抗', '地区交互']",被月光与森林祝福的圣女，一个诞生在「霜月之子」中的希望。,3月1日,张安琪,https://patchwiki.biligame.com/images/ys/4/4a/8702smxovolmyla40vly22yiz3q28is.png
character7,爱诺,"['小蛋卷', '水刻晴', '艾尔海淼', '我知道(外网梗【I know】)']",妙械咣咣铛,女,幼女,4星,水,,双手剑,挪德卡莱,叮铃哐啷蛋卷工坊,叮铃哐啷蛋卷工坊的家长,人类,砰砰盒座,嘎吱嘎吱甜甜杯,"['特产探索', '位移', '自身元素精通提高', '协同攻击', '能量恢复', '地区交互']",挪德卡莱的天才机械发明家，喜欢有趣的机械和甜食。,9月21日,葛子瑞,https://patchwiki.biligame.com/images/ys/c/cf/alzeyg74mh023bblnvtot9f5tqmh8xi.png
character8,伊涅芙,"['「悖谬」', '（没有丝毫幽默感的大）笨蛋（铁皮）机器人（雅珂达语）', 'CL-11「明晨之镜」伊·莱拉普赫·楚伊博卢', '铁傀儡', '人机', '机娘', '修玛吉亚', '机械女仆', '埃癸斯', '闪电芦苇（月感电特效）']",轰隆雷鸣波,女,少女,5星,雷,,长柄武器,挪德卡莱,叮铃哐啷蛋卷工坊,全能型家用机器人,机器人,香荚兰座,「轰雷电光斩！」,"['护盾', '特化反应', '精通加成', '自身倍率附加', '能量回复', '烹饪', '地区交互']",集成了各国机关部件的全能型机器人，胸口处的秘源核心已历经弥久岁月。,4月2日,美加,https://patchwiki.biligame.com/images/ys/0/06/fc5z8bw9xjptxvr1xqhi3fg87d3t4aa.png
character9,丝柯克,"['达达利亚的师傅', '「极恶骑」的弟子', 'skk', '雪山冻堇瓜', '师匠', '镜流的平行时空同位体', '冰刻晴']",虚渊暗星,女,少女,5星,冰,,单手剑,其他,寰宇劫灭,罪人之徒，愚者之师,人类,磷星座,「暗渊之获」,"['无能量元素爆发', '特殊元素附魔', '自身抗打断', '战斗增益', '快速移动', '自身倍率附加', '自身伤害减免', '配队增益', '反应受益，天赋提升']",曾现身于深渊裂隙和原始胎海的来访者，教导达达利亚武技的老师。孤身一人的女武者。,11月5日,谢莹,https://patchwiki.biligame.com/images/ys/f/f0/gbjq3bhxswsoicaonopqlbgy5lomh10.png
character10,塔利雅,['影月月'],颂礼祝祭,男,少年,4星,水,,单手剑,蒙德,西风教堂,巴巴托斯的传道者,人类,礼赞歌座,「欢夜畅谈」,"['护盾', '攻速提升', '移速提升', '护盾强效', '能量恢复', '复活', '反应受益']",西风教会的助祭，风神在教会的代行人。,5月25日,风袖,https://patchwiki.biligame.com/images/ys/a/ab/3t5lzht3kxazvru169c5xs2x1on0sp8.png
